frame,hip_R_3d,hip_R_xy,hip_R_yz,hip_R_xz,knee_R_3d,knee_R_xy,knee_R_yz,knee_R_xz,ankle_R_3d,ankle_R_xy,ankle_R_yz,ankle_R_xz,hip_L_3d,hip_L_xy,hip_L_yz,hip_L_xz,knee_L_3d,knee_L_xy,knee_L_yz,knee_L_xz,ankle_L_3d,ankle_L_xy,ankle_L_yz,ankle_L_xz,pelvic_yz,pelvic_xz,28_x,28_y,28_z,27_x,27_y,27_z,24_x,23_x,11_y,12_y,pelvis_z,knee_xy_r,knee_xy_l,ankle_xy_r,ankle_xy_l,knee_xy,ankle_xy,img_w,img_h,scale_cm_per_px
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
