frame,hip_R_3d,hip_R_xy,hip_R_yz,hip_R_xz,knee_R_3d,knee_R_xy,knee_R_yz,knee_R_xz,ankle_R_3d,ankle_R_xy,ankle_R_yz,ankle_R_xz,hip_L_3d,hip_L_xy,hip_L_yz,hip_L_xz,knee_L_3d,knee_L_xy,knee_L_yz,knee_L_xz,ankle_L_3d,ankle_L_xy,ankle_L_yz,ankle_L_xz,pelvic_yz,pelvic_xz,28_x,28_y,28_z,27_x,27_y,27_z,24_x,23_x,11_y,12_y,pelvis_z,knee_xy_r,knee_xy_l,ankle_xy_r,ankle_xy_l,knee_xy,ankle_xy,img_w,img_h,scale_cm_per_px
0,172.0497645042398,173.71112973800922,174.83102940921168,159.488522467472,172.45539876084902,179.81491607285608,172.45988141195252,179.1283381559044,28.703597035063066,18.58260779062092,26.932562469091913,11.950135828257011,170.02192592561988,175.8070617090903,170.8575354896644,167.1870011827177,178.6195574525185,178.4545918693544,179.842474574282,177.15040594242632,31.378446741813015,6.9080560036621925,31.331107028319067,0.9503702256754741,178.7593772791008,118.06116257087109,0.4761794209480285,0.8837047815322876,0.2218414694070816,0.4297709763050079,0.8888349533081055,0.2921116650104522,0.48245969414711,0.4152708351612091,0.0310836117714643,0.0568461716175079,-8.636619895695079e-05,179.81491607285608,178.4545918693544,18.58260779062092,6.9080560036621925,179.13475397110523,12.745331897141556,1920.0,1080.0,0.2
1,161.5713941338879,174.05209488795072,162.5178589583947,141.65358459389446,176.39247627524875,179.83735473357777,176.4005931064591,179.4895006884937,32.24877858249352,22.55964681631895,30.279745078559372,13.069693222149699,158.81393087305275,176.37559039371504,159.1130139562924,157.2280791587899,176.09210811768915,178.68182339020356,176.2858606256002,177.16107490202427,37.30042469150524,9.15688425006156,37.27308369446673,0.7908274159281996,-179.26589312731699,116.58628897100449,0.4762078821659088,0.8843477964401245,0.2386341989040374,0.429748922586441,0.8888610601425171,0.3014847338199615,0.4825361967086792,0.4141996800899505,0.0327803529798984,0.0565787591040134,-8.859299123284946e-05,179.83735473357777,178.68182339020356,22.55964681631895,9.15688425006156,179.25958906189067,15.858265533190256,1920.0,1080.0,0.2
2,160.06756832223647,174.39657494502663,160.83638986137606,140.7934289853388,177.70796560088448,179.86047871239947,177.71915244877042,179.62695991489653,31.764668281208476,20.34072859602977,30.139132566194125,11.83055703220189,156.35346866424933,176.69331774166452,156.57506899558794,154.93664443159855,174.64773198033214,178.7841056091212,174.77176371979564,177.14569367623193,36.42942046681614,9.326595268304688,36.38541948768821,1.0135630008310532,-177.78667383499373,115.37767714707033,0.476531445980072,0.8847061395645142,0.2427751272916793,0.4300808608531952,0.8894339203834534,0.3051758110523224,0.4825880825519562,0.4134786427021026,0.033671036362648,0.0558491572737693,-9.029544889925002e-05,179.86047871239947,178.7841056091212,20.34072859602977,9.326595268304688,179.32229216076036,14.833661932167228,1920.0,1080.0,0.2
3,157.3224664401688,174.59755858859913,157.94214178007138,134.79509187181714,179.75453863801914,179.84122946648785,179.9188699415575,179.69978494070963,30.047891167420964,11.19783812355375,29.533625340806037,6.437432837850175,154.5403007820207,176.91139774782945,154.71778876624023,152.37688663554243,173.5596220905341,178.78985736231306,173.66447596890347,176.9639509719849,37.93975874224153,9.75391025558806,37.916262721040574,0.651506955275768,-175.8259047014285,111.46877609419788,0.47662553191185,0.8847136497497559,0.2479755729436874,0.4303018748760223,0.8871045112609863,0.3037083446979522,0.4826415777206421,0.4126452505588531,0.0355039648711681,0.0557286813855171,-9.510572999715024e-05,179.84122946648785,178.78985736231306,11.19783812355375,9.75391025558806,179.31554341440045,10.475874189570906,1920.0,1080.0,0.2
4,158.63910424569715,174.7349636854942,159.26700188654283,141.30362134407744,179.39477346130005,179.6942012260066,179.4898395141934,179.44250351873342,31.701342768427534,9.661855192033142,31.375088746750425,5.208771248702492,153.49161594437055,176.87628630509695,153.6655452649792,154.4193523051329,172.81973199850955,178.5717878636774,172.94737979065002,176.6506214976541,36.41248989688161,10.27970879092111,36.37431231403668,0.9446694363340745,-170.56253911525937,110.47267241343681,0.4770387709140777,0.8854461312294006,0.2460089474916458,0.4310092628002167,0.886187732219696,0.318685382604599,0.4828775823116302,0.4124776422977447,0.0400515161454677,0.0561817362904548,-9.663263335824967e-05,179.6942012260066,178.5717878636774,9.661855192033142,10.27970879092111,179.132994544842,9.970781991477125,1920.0,1080.0,0.2
5,158.26067935722327,174.77833399418404,158.86710258406944,138.24649729110897,179.57583393559733,179.59067089515418,179.8805118323299,179.21794394426564,32.538352105707844,9.06366395447258,32.27347750953592,4.763646721317233,151.97639537123055,176.91224362252146,152.13418613244198,148.3429373296702,171.8865914690804,178.30063400672745,172.0475012794276,175.83902660615942,36.73623493344288,10.426406059173987,36.70651203824346,0.5991423416151868,-170.20626908540484,110.1567901754207,0.4774402379989624,0.8855095505714417,0.244369700551033,0.4314168691635132,0.8841008543968201,0.3083401918411255,0.4828854203224182,0.4118797183036804,0.0418531112372875,0.0563423112034797,-9.760074317454945e-05,179.59067089515418,178.30063400672745,9.06366395447258,10.426406059173987,178.94565245094083,9.745035006823283,1920.0,1080.0,0.2
6,158.9344761673627,174.88455271409757,159.5371829618033,137.6807611881647,177.87849684355882,179.5326552267383,177.92737584789703,179.1282024102407,33.19367671128819,8.501265412846738,32.92969379784748,4.938656170818365,153.27517703534858,176.74552205013055,153.46014493317276,143.47342602791628,171.544474319288,177.94867036786508,171.7723687409219,174.53793776531592,41.42733583032215,8.44338412182501,41.49629598152597,2.2135686456414927,-170.02084473009592,109.95310948073909,0.4777302145957947,0.8858312368392944,0.2245514988899231,0.4314527213573456,0.8841608166694641,0.2800978422164917,0.4826776087284088,0.4113557934761047,0.0429800860583782,0.0575411058962345,-9.863916784524918e-05,179.5326552267383,177.94867036786508,8.501265412846738,8.44338412182501,178.7406627973017,8.472324767335873,1920.0,1080.0,0.2
7,158.25093530652003,174.6949251603431,158.87707822381864,133.43478610518704,177.0112333271718,179.62355292156553,177.0353501375311,179.33020040511917,27.87977048348514,8.366942668934591,27.43198738130755,6.332118279479434,151.95824681942054,176.4720212226081,152.16389659453938,137.6015904702039,169.05428315272908,177.11618523979246,169.40176491997792,171.94980116697448,39.21022775286665,7.451930915212153,39.29878788053411,3.443892053484223,-165.70184256834173,109.80424410906083,0.477787435054779,0.8870760798454285,0.2194647490978241,0.4314361214637756,0.8855535387992859,0.2705460786819458,0.4821473658084869,0.4106055498123169,0.0441419705748558,0.0590402521193027,-9.956769645215035e-05,179.62355292156553,177.11618523979246,8.366942668934591,7.451930915212153,178.369869080679,7.909436792073372,1920.0,1080.0,0.2
8,160.06153722172033,174.38755077087026,160.83318615603926,135.7050462606097,178.49641392284724,179.73793250847854,178.52676155283407,179.47205528718737,25.511398738972872,13.498660290445653,23.92499641429236,12.041644397096647,151.1052242959735,176.44013708674555,151.30742462662622,137.20999679448448,168.27392579526992,176.60971435823268,168.7176935405227,170.82617766733932,33.80777452340195,6.083216913530478,33.886302418279385,3.533051447909578,-162.44271349748934,110.29644181725995,0.4778158068656921,0.888556182384491,0.2124618738889694,0.4311034381389618,0.8859604001045227,0.2740830481052398,0.4808688461780548,0.4094613790512085,0.0448019504547119,0.0590483471751213,-0.00010125664994119991,179.73793250847854,176.60971435823268,13.498660290445653,6.083216913530478,178.1738234333556,9.790938601988065,1920.0,1080.0,0.2
9,160.38977986326842,173.891077116201,161.31947790808175,136.98374965276608,177.59835253614312,179.78782272730766,177.61383743046645,179.47210214848002,24.25768573021291,15.052309173146554,21.88627113753598,14.70909529532634,152.7642153372003,176.54679362435436,152.9687722473718,145.422211206113,165.85786536455376,175.91917901125993,166.40226805000805,167.49501057244524,37.944987648924496,1.360296021730368,38.02165386648887,9.85119271260948,-161.76379835022922,110.05729078830164,0.4773892164230346,0.8875615000724792,0.2084352523088455,0.4312652945518493,0.8867394924163818,0.2602336406707763,0.4793513417243957,0.4071055948734283,0.0486859865486621,0.061062641441822,-0.00010225316509605061,179.78782272730766,175.91917901125993,15.052309173146554,1.360296021730368,177.85350086928378,8.20630259743846,1920.0,1080.0,0.2
10,159.09144322932772,173.44012531491634,160.08355302059383,138.37391647167794,175.35624771383078,179.16471519131053,175.42310704981344,178.1167602929994,35.74522504645082,20.873148551443798,34.05577289839969,13.185704758105967,153.69300495930315,176.44028125478349,153.91899009690812,146.51885570002938,164.42537973204588,175.44250197046875,165.04779584772984,164.6433770924222,45.67243995771685,0.24713826768928526,45.708492320713596,13.6743074545011,-161.90093215277224,109.5767159151031,0.4764411151409149,0.8742119073867798,0.2100284397602081,0.4307814240455627,0.883988618850708,0.2424314618110656,0.4776088893413543,0.4061977565288543,0.0518901832401752,0.0628168657422065,-0.00011073146015405048,179.16471519131053,175.44250197046875,20.873148551443798,0.24713826768928526,177.30360858088966,10.56014340956654,1920.0,1080.0,0.2
